created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-09 21:24:44-06:00,cheyenne,0,0,139,123,0,11,759,This game making me sweat...,0.0,1.0,0.0,0.0
2020-10-09 21:24:04-06:00,cheyenne,0,0,139,123,0,11,759,I know Jimmy Butler hair stinks!,0.314,0.686,0.0,-0.3164
2020-10-09 21:23:12-06:00,cheyenne,0,3,278,297,2,3105,10609,"#PS4share #GBVS #GBVS_FT ""Hey Okami are ya winning??"" Me: X_________X ",0.0,0.705,0.295,0.5803
2020-10-09 21:23:08-06:00,cheyenne,0,0,13,109,1,20,3054," The really sad thing is they need to do this every freaking year, cause as soon as their prospects are… ",0.244,0.669,0.087,-0.6115
2020-10-09 21:22:55-06:00,cheyenne,1,0,139,123,0,11,759,I know with a REAL crowd that tension would be so much fun..... I’d be holding my piss right now ....,0.188,0.677,0.135,-0.1082
2020-10-09 21:22:49-06:00,cheyenne,0,2,24,67,1,132,227,"GETTING READY TO RAID!!!!!!!!!!!!!!!!!!!!!!!!!!!  

#TwitchStreamers #twitchaffiliate #BSo7 #StreamRaiders",0.0,0.614,0.386,0.6598
2020-10-09 21:21:57-06:00,cheyenne,0,0,139,123,0,11,759,Awww he flopped a lil,0.0,1.0,0.0,0.0
2020-10-09 21:21:21-06:00,cheyenne,0,0,139,123,0,11,759,KCP want this ring,0.0,0.698,0.302,0.0772
2020-10-09 21:20:34-06:00,cheyenne,0,0,179,1072,0,9831,4547,I'm tired of fighting it. Kill me now.,0.669,0.331,0.0,-0.8779
2020-10-09 22:15:37-06:00,cheyenne,0,0,140,123,0,11,779, Why he talking ?,0.0,1.0,0.0,0.0
2020-10-09 22:15:27-06:00,cheyenne,0,0,140,123,0,11,779, Finna delete everything in a few,0.0,1.0,0.0,0.0
2020-10-09 22:14:42-06:00,cheyenne,0,0,86,423,0,2685,1266,Wtf does it mean when you're 3 years in and all a sudden it turns into a controlling relationship??,0.188,0.812,0.0,-0.6322
2020-10-09 22:14:07-06:00,cheyenne,0,2,503,2419,8,91451,15080,  Thanks for retweeting my retweet. I like retweeting the good stuff.,0.0,0.491,0.509,0.8074
2020-10-09 22:09:21-06:00,cheyenne,0,0,140,123,0,11,779,On God give me the ball I’ll never miss an 3 like that,0.0,0.623,0.377,0.6179
2020-10-09 22:08:49-06:00,cheyenne,0,0,140,123,0,11,779, LMFAOOOOO nigga agg,0.0,1.0,0.0,0.0
2020-10-09 22:08:23-06:00,cheyenne,0,0,365,377,2,3753,2076, Name em for me😭💀,0.307,0.693,0.0,-0.4767
2020-10-09 22:08:10-06:00,cheyenne,0,0,303,222,1,7775,3821,Gotta lower my expectations,0.423,0.577,0.0,-0.296
2020-10-09 22:08:08-06:00,cheyenne,0,3,138,253,1,2828,299,i can’t even make the shit up that happens to me 😂,0.084,0.573,0.344,0.7845
2020-10-09 22:07:43-06:00,cheyenne,0,0,140,123,0,11,779, Lmfaooo that was not nice ! He agg for this tho.,0.208,0.792,0.0,-0.3867
2020-10-09 22:07:16-06:00,cheyenne,0,1,756,1847,14,13333,16648, 🤣🤣 I think what hurt most about this loss is they were wearing the Mamba jerseys,0.188,0.622,0.19,0.0117
2020-10-09 22:07:02-06:00,cheyenne,0,0,24,114,0,390,490,The #BudLightCelly this week belongs to Broncos Country! #BroncosCelly,0.0,1.0,0.0,0.0
2020-10-09 22:06:54-06:00,cheyenne,0,1,175,160,13,1542,12022,Screenshot for context. ,0.0,1.0,0.0,0.0
2020-10-09 22:06:51-06:00,cheyenne,1,2,7262,7686,6,44479,39352,"Anyone who thinks this election cycle is not going to be the most important in American history, isn't paying atten… ",0.0,0.901,0.099,0.2716
2020-10-09 22:06:08-06:00,cheyenne,4,3,140,123,0,11,779,Go paint yo nails and STFU. ,0.0,1.0,0.0,0.0
2020-10-09 22:05:34-06:00,cheyenne,0,0,140,123,0,11,779,If these boys tie the series 3-3.... out me on suicide watch,0.29,0.71,0.0,-0.6705
2020-10-09 22:05:13-06:00,cheyenne,0,1,179,100,1,5140,1402,tf is yll talkin bout lebron for mf gettin double and danny green weak ass wide open,0.299,0.701,0.0,-0.7506
2020-10-09 22:04:57-06:00,cheyenne,0,0,140,123,0,11,779,If all the 3s Danny could’ve missed. He chose a wide open social distanced 3.,0.136,0.864,0.0,-0.296
2020-10-09 22:04:44-06:00,cheyenne,0,1,175,160,13,1542,12022, who is the monster who wrote the sin about serving wine with pizza? Have they never had good pizza or are… ,0.24,0.76,0.0,-0.7189
2020-10-09 22:04:13-06:00,cheyenne,0,0,279,133,4,7161,3860,"remember when Morris said AD was better than Lebron, this man really threw the ball out of bounds trying to throw t… ",0.0,0.879,0.121,0.4404
2020-10-09 22:03:50-06:00,cheyenne,1,0,140,123,0,11,779,Bitch hadda see Jesus nem ,0.487,0.513,0.0,-0.5859
2020-10-09 22:03:46-06:00,cheyenne,0,1,179,100,1,5140,1402,that nigga Morris dont get a pass either mf we kno yo ass aint want the ball but damn my nigga atleast give it to s… ,0.231,0.769,0.0,-0.7106
2020-10-09 22:02:38-06:00,cheyenne,0,0,140,123,0,11,779,I’m glad i didn’t bet my paycheck on this game....niggas would not find me.,0.0,0.812,0.188,0.4588
2020-10-09 22:01:54-06:00,cheyenne,0,1,571,1666,4,36692,11896,Hoping all is well... Wish I could see how everyone is doing. 😥,0.094,0.506,0.4,0.6858
2020-10-09 22:01:20-06:00,cheyenne,0,0,140,123,0,11,779, Lmfaoooooo,0.0,1.0,0.0,0.0
2020-10-09 22:00:54-06:00,cheyenne,0,0,140,123,0,11,779,I knew you was outchea pegging niggas ,0.286,0.714,0.0,-0.34
2020-10-09 22:00:51-06:00,cheyenne,0,0,4,63,0,387,493, Hope he gets the ORANGE PLAGUE,0.0,0.633,0.367,0.4404
2020-10-09 21:59:36-06:00,cheyenne,1,1,179,100,1,5140,1402,i bet they stompin that nigga out in the mf locker room,0.0,1.0,0.0,0.0
2020-10-09 21:59:29-06:00,cheyenne,0,0,140,123,0,11,779,"I know Bron in that locker fussing like black daddy should. 

Practicing for Bronny",0.0,0.839,0.161,0.3612
2020-10-09 21:58:50-06:00,cheyenne,0,2,426,494,9,91287,25487,  Missouri gonna throw away some money,0.0,1.0,0.0,0.0
